Compound Name,FileName,Variety,Component RT,Peak,tR_best,m/z,Intensity,norm_name,is_aroma,Aroma Description
Decanal,AVARNA.csv,AVARNA,13.7063833333333,300,13.703,120,15791.460939795215,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,AVARNA.csv,AVARNA,15.0375333333333,343,15.031,55,73757.80910146779,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,AVARNA.csv,AVARNA,16.3622666666667,386,16.349,58,126812.92317488397,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
Heptanal,AVARNA.csv,AVARNA,18.6708833333333,463,18.668,135,8131.314354140104,heptanal,True,"Fatty, citrus-like, slightly green"
Acetophenone,AVARNA.csv,AVARNA,19.3126992338825,484,19.314,57,87810.48690599849,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",CAMEL.csv,CAMEL,2.18964424861626,10,2.183,45,14246086.94444507,2propanone1methoxy,True,"Solvent, ether-like"
Propanal,CAMEL.csv,CAMEL,2.35948333333333,17,2.36,72,2289840.02246586,propanal,True,"Sharp, pungent, green"
"Butanal, 3-methyl-",CAMEL.csv,CAMEL,2.89965,32,2.895,44,8011344.422117991,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,CAMEL.csv,CAMEL,5.28545,89,5.289,56,2097939.6666144137,hexanal,True,"Green, grassy, fresh-cut potato"
Heptanal,CAMEL.csv,CAMEL,7.93811666666667,131,7.933,56,21838.122537291936,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,CAMEL.csv,CAMEL,9.3175,165,9.322,85,14181.934283515937,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,CAMEL.csv,CAMEL,9.52615132960155,172,9.542,79,364277.0911333961,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Hexanol,CAMEL.csv,CAMEL,9.76193233643763,180,9.767,60,48547.66095893358,hexanol,True,"Green, grassy, herbaceous"
Octanal,CAMEL.csv,CAMEL,10.1953,195,10.179,59,54688.43902520447,octanal,True,"Citrus, fruity, green"
Hexanol,CAMEL.csv,CAMEL,10.6969,209,10.699,92,16406.109382355204,hexanol,True,"Green, grassy, herbaceous"
Nonanal,CAMEL.csv,CAMEL,12.0795,253,12.102,57,14531603.968673317,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,CAMEL.csv,CAMEL,13.59715,297,13.587,59,82587.11975156252,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,CAMEL.csv,CAMEL,13.7064666666667,300,13.703,120,30974.317442355503,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,CAMEL.csv,CAMEL,15.0408333333333,343,15.031,55,138537.20234090323,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,CAMEL.csv,CAMEL,16.36235,386,16.349,58,230108.79586090497,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
Pentanal,CAMEL.csv,CAMEL,17.5906166666667,429,17.574,281,2383127.6462119306,pentanal,True,"Fatty, green, pungent"
Heptanal,CAMEL.csv,CAMEL,18.6709666666667,463,18.668,135,11124.040616104288,heptanal,True,"Fatty, citrus-like, slightly green"
Acetophenone,CAMEL.csv,CAMEL,19.31405,484,19.314,57,142543.3554293557,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",CHOPIN.csv,CHOPIN,2.19512636665457,10,2.183,45,14569228.070960952,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",CHOPIN.csv,CHOPIN,2.89645,32,2.895,44,5004080.434853157,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,CHOPIN.csv,CHOPIN,5.27903333333333,89,5.289,56,1427352.6238282688,hexanal,True,"Green, grassy, fresh-cut potato"
Heptanal,CHOPIN.csv,CHOPIN,7.9317,131,7.933,56,18405.99339769761,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,CHOPIN.csv,CHOPIN,9.32181529811492,165,9.322,85,4218.812408422568,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,CHOPIN.csv,CHOPIN,9.52304469214157,172,9.542,79,410968.9947824182,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Hexanol,CHOPIN.csv,CHOPIN,9.74195,179,9.751,43,21441.406358808657,hexanol,True,"Green, grassy, herbaceous"
Octanal,CHOPIN.csv,CHOPIN,10.1921,195,10.179,59,27338.48344334798,octanal,True,"Citrus, fruity, green"
Hexanol,CHOPIN.csv,CHOPIN,10.6936833333333,209,10.699,92,12453.53819756215,hexanol,True,"Green, grassy, herbaceous"
Nonanal,CHOPIN.csv,CHOPIN,12.0795,253,12.102,57,15630280.380273046,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,CHOPIN.csv,CHOPIN,13.59715,297,13.587,59,52971.628699891226,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,CHOPIN.csv,CHOPIN,13.7064833333333,300,13.703,120,15356.043681242569,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,CHOPIN.csv,CHOPIN,15.0376333333333,343,15.031,55,109145.80470768192,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,CHOPIN.csv,CHOPIN,16.36235,386,16.349,58,149247.17489015043,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
1-Nonanol,CHOPIN.csv,CHOPIN,18.6709833333333,463,18.668,135,10637.13600601017,1nonanol,True,"Waxy, floral, oily"
Acetophenone,CHOPIN.csv,CHOPIN,19.3108333333333,484,19.314,57,93896.05612540676,acetophenone,True,"Floral, sweet, almond-like"
Propanal,FELSINA.csv,FELSINA,2.01332051450488,4,2.012,64,2174962.8620285518,propanal,True,"Sharp, pungent, green"
"2-Propanone, 1-methoxy-",FELSINA.csv,FELSINA,2.19652489391002,11,2.208,53,543270.1857688136,2propanone1methoxy,True,"Solvent, ether-like"
Pentanal,FELSINA.csv,FELSINA,3.31448333333333,46,3.315,44,2887736.08396034,pentanal,True,"Fatty, green, pungent"
Hexanal,FELSINA.csv,FELSINA,5.2855,89,5.289,56,12585599.868033491,hexanal,True,"Green, grassy, fresh-cut potato"
Heptanal,FELSINA.csv,FELSINA,7.93495,131,7.933,56,10010.642921497489,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,FELSINA.csv,FELSINA,9.31111666666667,165,9.322,85,6661.95658164975,benzaldehyde,True,"Almond, cherry, sweet"
Hexanol,FELSINA.csv,FELSINA,9.73876666666667,179,9.751,43,55486.69823517885,hexanol,True,"Green, grassy, herbaceous"
Octanal,FELSINA.csv,FELSINA,10.1921333333333,195,10.179,59,28847.950025837228,octanal,True,"Citrus, fruity, green"
Hexanol,FELSINA.csv,FELSINA,10.6992654344065,209,10.699,92,13735.841373965295,hexanol,True,"Green, grassy, herbaceous"
Octanal,FELSINA.csv,FELSINA,11.2596333333333,228,11.26,57,115239.92766214324,octanal,True,"Citrus, fruity, green"
Acetophenone,FELSINA.csv,FELSINA,11.45255,233,11.452,69,45185.96009009739,acetophenone,True,"Floral, sweet, almond-like"
Nonanal,FELSINA.csv,FELSINA,12.0763333333333,253,12.102,57,11341160.568593904,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,FELSINA.csv,FELSINA,13.5939833333333,297,13.587,59,59852.72443325779,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,FELSINA.csv,FELSINA,13.7065166666667,300,13.703,120,15207.473726399909,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,FELSINA.csv,FELSINA,15.0376666666667,343,15.031,55,111452.78023319304,decanal,True,"Citrus, fatty, waxy, potato-like"
Tetramethylpyrazine,FELSINA.csv,FELSINA,16.3624,386,16.349,58,150847.5110221971,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
1-Octen-3-ol,FELSINA.csv,FELSINA,18.6710166666667,463,18.668,135,8350.410351772354,1octen3ol,True,"Mushroom, earthy, raw potato"
Acetophenone,FELSINA.csv,FELSINA,19.3108833333333,484,19.314,57,100829.9074104038,acetophenone,True,"Floral, sweet, almond-like"
Propanal,INNOVATOR.csv,INNOVATOR,2.01531666666667,4,2.012,64,1822964.9398426584,propanal,True,"Sharp, pungent, green"
"2-Propanone, 1-methoxy-",INNOVATOR.csv,INNOVATOR,2.20114075593465,11,2.208,53,749234.4453254156,2propanone1methoxy,True,"Solvent, ether-like"
Propanal,INNOVATOR.csv,INNOVATOR,2.35936666666667,17,2.36,72,1554827.659156286,propanal,True,"Sharp, pungent, green"
Acetic acid,INNOVATOR.csv,INNOVATOR,2.45903333333333,20,2.447,40,35781.96431331697,aceticacid,True,"Vinegar-like, sour"
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,2.89953333333333,32,2.895,44,2622110.3838739144,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
"2-Propanone, 1-methoxy-",INNOVATOR.csv,INNOVATOR,2.98313333333333,35,2.98,78,4039374.3219340793,2propanone1methoxy,True,"Solvent, ether-like"
Hexanol,INNOVATOR.csv,INNOVATOR,3.15998333333333,40,3.143,86,3627.349837571408,hexanol,True,"Green, grassy, herbaceous"
"2,3-Pentanedione",INNOVATOR.csv,INNOVATOR,3.20821666666667,42,3.201,57,48751.29613871125,23pentanedione,True,"Creamy, buttery, sweet"
"2,3-Pentanedione",INNOVATOR.csv,INNOVATOR,3.28216666666667,45,3.286,57,108609.3223155609,23pentanedione,True,"Creamy, buttery, sweet"
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,3.90595,56,3.915,45,89970.51983069198,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Ethyl hexanoate,INNOVATOR.csv,INNOVATOR,5.05705,83,5.07,55,15585.867395092811,ethylhexanoate,True,"Apple, pineapple, sweet"
Hexanal,INNOVATOR.csv,INNOVATOR,5.28533333333333,89,5.289,56,1400871.3177080057,hexanal,True,"Green, grassy, fresh-cut potato"
Furfural,INNOVATOR.csv,INNOVATOR,6.20490173251373,98,6.221,39,59684.38021374173,furfural,True,"Sweet, almond, caramel"
"2,6-Dimethylpyrazine",INNOVATOR.csv,INNOVATOR,6.39785,102,6.405,70,21631.956869250116,26dimethylpyrazine,True,"Roasted, earthy"
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,6.98625,112,7.002,85,41573.26176127483,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Heptanal,INNOVATOR.csv,INNOVATOR,7.93478333333333,131,7.933,56,19049.228953403985,heptanal,True,"Fatty, citrus-like, slightly green"
Methional,INNOVATOR.csv,INNOVATOR,8.05053333333333,133,8.094,109,3812.526556066033,methional,True,"Cooked potato, meaty, sulfurous (key potato note)"
Benzaldehyde,INNOVATOR.csv,INNOVATOR,9.31738333333333,165,9.322,85,3976.8186822492353,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,INNOVATOR.csv,INNOVATOR,9.52638333333333,172,9.542,79,274373.8122567187,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
1-Octen-3-ol,INNOVATOR.csv,INNOVATOR,9.6968,177,9.69,56,7688.706889066332,1octen3ol,True,"Mushroom, earthy, raw potato"
Hexanol,INNOVATOR.csv,INNOVATOR,9.74825,179,9.751,43,21112.62667377267,hexanol,True,"Green, grassy, herbaceous"
Butanoic acid,INNOVATOR.csv,INNOVATOR,10.0472666666667,190,10.038,123,15794.713318207048,butanoicacid,True,"Rancid, cheesy, sweaty"
Octanal,INNOVATOR.csv,INNOVATOR,10.1951833333333,195,10.179,59,28333.822541986057,octanal,True,"Citrus, fruity, green"
Ethyl acetate,INNOVATOR.csv,INNOVATOR,10.39775,200,10.381,57,63663.59120214515,ethylacetate,True,"Fruity, solvent-like"
Hexanol,INNOVATOR.csv,INNOVATOR,10.6967833333333,209,10.699,92,12847.20118998809,hexanol,True,"Green, grassy, herbaceous"
Benzeneacetaldehyde,INNOVATOR.csv,INNOVATOR,11.02795,220,11.01,56,10166.315690278272,benzeneacetaldehyde,True,"Honey, floral, sweet"
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,11.25625,228,11.26,57,100320.22762715654,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Octanal,INNOVATOR.csv,INNOVATOR,11.3237666666667,230,11.337,91,141017.33651135178,octanal,True,"Citrus, fruity, green"
1-Heptanol,INNOVATOR.csv,INNOVATOR,11.7224666666667,242,11.737,43,31788.13411029564,1heptanol,True,"Floral, herbal, fatty"
Nonanal,INNOVATOR.csv,INNOVATOR,12.0793833333333,253,12.102,57,16183886.577815669,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Octanoic acid,INNOVATOR.csv,INNOVATOR,12.4041333333333,260,12.401,98,18199.92219940608,octanoicacid,True,"Fatty, soapy, rancid"
Nonanal,INNOVATOR.csv,INNOVATOR,13.0054,278,12.996,56,9881.589081765862,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,INNOVATOR.csv,INNOVATOR,13.0632833333333,280,13.067,105,71429.87492968669,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,INNOVATOR.csv,INNOVATOR,13.1533,283,13.15,105,78051.68299856223,decanal,True,"Citrus, fatty, waxy, potato-like"
Octanoic acid,INNOVATOR.csv,INNOVATOR,13.3783833333333,291,13.391,122,125967.89929173944,octanoicacid,True,"Fatty, soapy, rancid"
Decanal,INNOVATOR.csv,INNOVATOR,13.5970333333333,297,13.587,59,57476.87880642426,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,INNOVATOR.csv,INNOVATOR,13.70635,300,13.703,120,17468.96146850621,decanal,True,"Citrus, fatty, waxy, potato-like"
Octanoic acid,INNOVATOR.csv,INNOVATOR,14.0439666666667,310,14.044,105,90785.01893083742,octanoicacid,True,"Fatty, soapy, rancid"
2-Methylthiazole,INNOVATOR.csv,INNOVATOR,14.1275666666667,313,14.134,97,61621.07807408787,2methylthiazole,True,"Nutty, roasted"
Octanoic acid,INNOVATOR.csv,INNOVATOR,14.2272333333333,316,14.224,102,238081.96004408025,octanoicacid,True,"Fatty, soapy, rancid"
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,14.3353179366634,320,14.343,71,94359.76498147612,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Octanoic acid,INNOVATOR.csv,INNOVATOR,14.5487666666667,327,14.53,73,22576.63659480349,octanoicacid,True,"Fatty, soapy, rancid"
Octanoic acid,INNOVATOR.csv,INNOVATOR,14.6098666666667,330,14.607,60,39962.36354098698,octanoicacid,True,"Fatty, soapy, rancid"
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,14.6773833333333,333,14.681,102,62741.88452813427,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,14.7159666666667,334,14.71,87,486622.5316115672,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
1-Phenylethanol,INNOVATOR.csv,INNOVATOR,14.7706333333333,335,14.758,102,447658.14773614367,1phenylethanol,True,"Floral, rose, sweet"
Decanal,INNOVATOR.csv,INNOVATOR,15.0407166666667,343,15.031,55,141846.45482611528,decanal,True,"Citrus, fatty, waxy, potato-like"
Decanal,INNOVATOR.csv,INNOVATOR,15.1661166666667,347,15.163,105,22298.871517061576,decanal,True,"Citrus, fatty, waxy, potato-like"
3-Octanone,INNOVATOR.csv,INNOVATOR,15.4104833333333,355,15.411,69,59530.53038371432,3octanone,True,"Mushroom, earthy, fatty"
Methyl butanoate,INNOVATOR.csv,INNOVATOR,15.5037333333333,358,15.494,87,20671.96177600164,methylbutanoate,True,"Apple, fruity, sweet"
Ethyl propanoate,INNOVATOR.csv,INNOVATOR,15.71595,365,15.7,43,43633.87486933537,ethylpropanoate,True,"Fruity, rum-like"
"2,4-Decadienal",INNOVATOR.csv,INNOVATOR,15.9410166666667,373,15.938,85,136841.11420214394,24decadienal,True,"Fatty, fried, potato-chip-like"
Heptanal,INNOVATOR.csv,INNOVATOR,16.2657666666667,383,16.259,74,44488.75084794964,heptanal,True,"Fatty, citrus-like, slightly green"
3-Octanone,INNOVATOR.csv,INNOVATOR,16.3204333333333,385,16.314,154,321637.7331167026,3octanone,True,"Mushroom, earthy, fatty"
Tetramethylpyrazine,INNOVATOR.csv,INNOVATOR,16.3622333333333,386,16.349,58,178077.7417210508,tetramethylpyrazine,True,"Roasted, nutty, cocoa"
Decanal,INNOVATOR.csv,INNOVATOR,16.5069166666667,390,16.481,145,20653.165642921354,decanal,True,"Citrus, fatty, waxy, potato-like"
2-Methyl-1-propanol,INNOVATOR.csv,INNOVATOR,16.9249166666667,405,16.931,74,370135.93338229135,2methyl1propanol,True,"Fusel, solvent-like"
Methanethiol,INNOVATOR.csv,INNOVATOR,17.2336,417,17.24,194,214403.7054344648,methanethiol,True,"Sulfurous, cabbage, cooked potato"
Methanethiol,INNOVATOR.csv,INNOVATOR,17.45545,425,17.465,113,282289.7688958259,methanethiol,True,"Sulfurous, cabbage, cooked potato"
Pentanal,INNOVATOR.csv,INNOVATOR,17.5905,429,17.574,281,2605177.156427811,pentanal,True,"Fatty, green, pungent"
Hexanoic acid,INNOVATOR.csv,INNOVATOR,17.7577,434,17.748,168,19578.30529196006,hexanoicacid,True,"Fatty, sweaty, rancid"
Methanethiol,INNOVATOR.csv,INNOVATOR,18.031,442,18.028,59,35844.61809025122,methanethiol,True,"Sulfurous, cabbage, cooked potato"
1-Heptanol,INNOVATOR.csv,INNOVATOR,18.9313,472,18.925,177,138704.71598940002,1heptanol,True,"Floral, herbal, fatty"
Benzeneacetaldehyde,INNOVATOR.csv,INNOVATOR,19.1821,480,19.201,232,71935.28206362313,benzeneacetaldehyde,True,"Honey, floral, sweet"
Acetophenone,INNOVATOR.csv,INNOVATOR,19.3139333333333,484,19.314,57,94851.9452069487,acetophenone,True,"Floral, sweet, almond-like"
Methanethiol,INNOVATOR.csv,INNOVATOR,19.63225,495,19.625,77,407154.5694073677,methanethiol,True,"Sulfurous, cabbage, cooked potato"
Benzeneacetaldehyde,INNOVATOR.csv,INNOVATOR,19.9795,507,19.971,55,39641.43697246815,benzeneacetaldehyde,True,"Honey, floral, sweet"
"Butanal, 3-methyl-",INNOVATOR.csv,INNOVATOR,20.6097166666667,529,20.612,43,159608.8005869812,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
"Butanal, 3-methyl-",JAERLA.csv,JAERLA,2.8996,32,2.895,44,3438937.175121469,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,JAERLA.csv,JAERLA,5.28216666666667,89,5.289,56,1453263.770499932,hexanal,True,"Green, grassy, fresh-cut potato"
Heptanal,JAERLA.csv,JAERLA,7.93483333333333,131,7.933,56,23735.858926349552,heptanal,True,"Fatty, citrus-like, slightly green"
Benzaldehyde,JAERLA.csv,JAERLA,9.31743333333333,165,9.322,85,8447.617971994187,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,JAERLA.csv,JAERLA,9.52643333333333,172,9.542,79,307176.9182396139,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Octanal,JAERLA.csv,JAERLA,10.1952333333333,195,10.179,59,38198.688239576,octanal,True,"Citrus, fruity, green"
Hexanol,JAERLA.csv,JAERLA,10.6968333333333,209,10.699,92,12651.361380784096,hexanol,True,"Green, grassy, herbaceous"
Nonanal,JAERLA.csv,JAERLA,12.0794333333333,253,12.102,57,15564255.097451286,nonanal,True,"Waxy, citrus, floral (lipid oxidation product)"
Decanal,JAERLA.csv,JAERLA,13.7064,300,13.703,120,16099.406969486416,decanal,True,"Citrus, fatty, waxy, potato-like"
Acetophenone,JAERLA.csv,JAERLA,16.2561666666667,383,16.259,74,76493.88441397858,acetophenone,True,"Floral, sweet, almond-like"
Acetophenone,JAERLA.csv,JAERLA,19.3139833333333,484,19.314,57,55056.187305570806,acetophenone,True,"Floral, sweet, almond-like"
"2-Propanone, 1-methoxy-",SARPO MIRA.csv,SARPO MIRA,2.1859,10,2.183,45,14375061.237553507,2propanone1methoxy,True,"Solvent, ether-like"
"Butanal, 3-methyl-",SARPO MIRA.csv,SARPO MIRA,2.90291666666667,32,2.895,44,1939287.6256000048,butanal3methyl,True,"Malty, chocolate, cocoa-like (Maillard reaction product)"
Hexanal,SARPO MIRA.csv,SARPO MIRA,5.2855,89,5.289,56,2147331.2966654133,hexanal,True,"Green, grassy, fresh-cut potato"
Benzaldehyde,SARPO MIRA.csv,SARPO MIRA,9.31755,165,9.322,85,5594.340310876201,benzaldehyde,True,"Almond, cherry, sweet"
Dimethyl trisulfide,SARPO MIRA.csv,SARPO MIRA,9.52655,172,9.542,79,213085.7942224873,dimethyltrisulfide,True,"Cabbage, onion, sulfurous"
Octanal,SARPO MIRA.csv,SARPO MIRA,10.19535,195,10.179,59,24853.60382108556,octanal,True,"Citrus, fruity, green"
Hexanol,SARPO MIRA.csv,SARPO MIRA,10.6969333333333,209,10.699,92,13175.591561104844,hexanol,True,"Green, grassy, herbaceous"
Acetophenone,SARPO MIRA.csv,SARPO MIRA,11.4557666666667,233,11.452,69,94318.38014044342,acetophenone,True,"Floral, sweet, almond-like"
